serial,id,stage,classes,trait,section,domains,streams,subjects,entranceExams,targetCourses,careerFamilies,interestClusters,skills,combinationKeys,text
"1824","v7_class11_scientific_curiosity_011","senior-secondary","class-11","scientific_curiosity","work-style","law_governance | research_science","humanities-arts | humanities-with-legal-studies | humanities | arts | commerce with mathematics | commerce without mathematics | science pcm | science pcb | science pcmb | biotechnology","history | legal studies | political science | sociology | economics | english | physics | chemistry | biology | mathematics | biotechnology","clat | ailet | slat | mh-cet-law | mh cet law | iiser iat | iat | nest | cuet ug","ba llb | bba llb | bcom llb | llb | law | bsc | bs-ms | integrated msc | research degree","research | law | policy | governance | public policy | science | academia","humanities-social-sciences | law-governance | law | communication | governance | social sciences | science | research | analytical | scientific curiosity","","domain:law governance | domain:research science | stream:humanities-arts | stream:humanities-with-legal-studies | stream:humanities | stream:arts | stream:commerce with mathematics | stream:commerce without mathematics | exam:clat | exam:ailet | exam:slat | exam:mh-cet-law | exam:mh cet law | exam:iiser iat | exam:iat | exam:nest | stream:humanities-arts|subject:history | stream:humanities-arts|subject:legal studies | stream:humanities-arts|subject:political science | stream:humanities-arts|subject:sociology | stream:humanities-with-legal-studies|subject:history | stream:humanities-with-legal-studies|subject:legal studies | stream:humanities-with-legal-studies|subject:political science | stream:humanities-with-legal-studies|subject:sociology | stream:humanities|subject:history | stream:humanities|subject:legal studies | stream:humanities|subject:political science | stream:humanities|subject:sociology | stream:arts|subject:history | stream:arts|subject:legal studies | stream:arts|subject:political science | stream:arts|subject:sociology | stream:humanities-arts|exam:clat | stream:humanities-arts|exam:ailet | stream:humanities-arts|exam:slat | stream:humanities-arts|exam:mh-cet-law | stream:humanities-with-legal-studies|exam:clat | stream:humanities-with-legal-studies|exam:ailet | stream:humanities-with-legal-studies|exam:slat | stream:humanities-with-legal-studies|exam:mh-cet-law | stream:humanities|exam:clat | stream:humanities|exam:ailet | stream:humanities|exam:slat | stream:humanities|exam:mh-cet-law | stream:arts|exam:clat | stream:arts|exam:ailet | stream:arts|exam:slat | stream:arts|exam:mh-cet-law | exam:clat|course:ba llb | exam:clat|course:bba llb | exam:clat|course:bcom llb | exam:clat|course:llb | exam:ailet|course:ba llb | exam:ailet|course:bba llb | exam:ailet|course:bcom llb | exam:ailet|course:llb | exam:slat|course:ba llb | exam:slat|course:bba llb | exam:slat|course:bcom llb | exam:slat|course:llb | exam:mh-cet-law|course:ba llb | exam:mh-cet-law|course:bba llb | exam:mh-cet-law|course:bcom llb | exam:mh-cet-law|course:llb | domain:law governance|trait:scientific curiosity | domain:research science|trait:scientific curiosity","While evaluating evidence about a historical issue, I prefer explanations supported by reliable evidence. I tend to prefer this approach even when the topic becomes more difficult."
"1825","v7_class11_scientific_curiosity_012","senior-secondary","class-11","scientific_curiosity","interest","law_governance | research_science","humanities-arts | humanities-with-legal-studies | humanities | arts | commerce with mathematics | commerce without mathematics | science pcm | science pcb | science pcmb | biotechnology","political-science | legal studies | political science | history | sociology | economics | english | physics | chemistry | biology | mathematics | biotechnology","clat | ailet | slat | mh-cet-law | mh cet law | iiser iat | iat | nest | cuet ug","ba llb | bba llb | bcom llb | llb | law | bsc | bs-ms | integrated msc | research degree","law | governance | policy | public policy | research | science | academia","law-governance | humanities-social-sciences | law | communication | governance | social sciences | science | research | analytical | scientific curiosity","","domain:law governance | domain:research science | stream:humanities-arts | stream:humanities-with-legal-studies | stream:humanities | stream:arts | stream:commerce with mathematics | stream:commerce without mathematics | exam:clat | exam:ailet | exam:slat | exam:mh-cet-law | exam:mh cet law | exam:iiser iat | exam:iat | exam:nest | stream:humanities-arts|subject:political-science | stream:humanities-arts|subject:legal studies | stream:humanities-arts|subject:political science | stream:humanities-arts|subject:history | stream:humanities-with-legal-studies|subject:political-science | stream:humanities-with-legal-studies|subject:legal studies | stream:humanities-with-legal-studies|subject:political science | stream:humanities-with-legal-studies|subject:history | stream:humanities|subject:political-science | stream:humanities|subject:legal studies | stream:humanities|subject:political science | stream:humanities|subject:history | stream:arts|subject:political-science | stream:arts|subject:legal studies | stream:arts|subject:political science | stream:arts|subject:history | stream:humanities-arts|exam:clat | stream:humanities-arts|exam:ailet | stream:humanities-arts|exam:slat | stream:humanities-arts|exam:mh-cet-law | stream:humanities-with-legal-studies|exam:clat | stream:humanities-with-legal-studies|exam:ailet | stream:humanities-with-legal-studies|exam:slat | stream:humanities-with-legal-studies|exam:mh-cet-law | stream:humanities|exam:clat | stream:humanities|exam:ailet | stream:humanities|exam:slat | stream:humanities|exam:mh-cet-law | stream:arts|exam:clat | stream:arts|exam:ailet | stream:arts|exam:slat | stream:arts|exam:mh-cet-law | exam:clat|course:ba llb | exam:clat|course:bba llb | exam:clat|course:bcom llb | exam:clat|course:llb | exam:ailet|course:ba llb | exam:ailet|course:bba llb | exam:ailet|course:bcom llb | exam:ailet|course:llb | exam:slat|course:ba llb | exam:slat|course:bba llb | exam:slat|course:bcom llb | exam:slat|course:llb | exam:mh-cet-law|course:ba llb | exam:mh-cet-law|course:bba llb | exam:mh-cet-law|course:bcom llb | exam:mh-cet-law|course:llb | domain:law governance|trait:scientific curiosity | domain:research science|trait:scientific curiosity","I enjoy testing an idea while analysing different viewpoints on a political or civic issue rather than accepting it only because someone says it is correct. I tend to prefer this approach even when the topic becomes more difficult."
"1826","v7_class11_scientific_curiosity_013","senior-secondary","class-11","scientific_curiosity","decision-making","research_science | law_governance","humanities-with-legal-studies | humanities-arts | science pcm | science pcb | science pcmb | biotechnology | humanities | arts | commerce with mathematics | commerce without mathematics","legal-studies | political-science | physics | chemistry | biology | mathematics | biotechnology | legal studies | political science | history | sociology | economics | english","clat | ailet | slat | mh-cet-law | iiser iat | iat | nest | cuet ug | mh cet law","bsc | bs-ms | integrated msc | research degree | ba llb | bba llb | bcom llb | llb | law","law | governance | research | science | academia | public policy","law-governance | science | research | analytical | scientific curiosity | law | communication | governance | social sciences","","domain:research science | domain:law governance | stream:humanities-with-legal-studies | stream:humanities-arts | stream:science pcm | stream:science pcb | stream:science pcmb | stream:biotechnology | exam:clat | exam:ailet | exam:slat | exam:mh-cet-law | exam:iiser iat | exam:iat | exam:nest | exam:cuet ug | stream:humanities-with-legal-studies|subject:legal-studies | stream:humanities-with-legal-studies|subject:political-science | stream:humanities-with-legal-studies|subject:physics | stream:humanities-with-legal-studies|subject:chemistry | stream:humanities-arts|subject:legal-studies | stream:humanities-arts|subject:political-science | stream:humanities-arts|subject:physics | stream:humanities-arts|subject:chemistry | stream:science pcm|subject:legal-studies | stream:science pcm|subject:political-science | stream:science pcm|subject:physics | stream:science pcm|subject:chemistry | stream:science pcb|subject:legal-studies | stream:science pcb|subject:political-science | stream:science pcb|subject:physics | stream:science pcb|subject:chemistry | stream:humanities-with-legal-studies|exam:clat | stream:humanities-with-legal-studies|exam:ailet | stream:humanities-with-legal-studies|exam:slat | stream:humanities-with-legal-studies|exam:mh-cet-law | stream:humanities-arts|exam:clat | stream:humanities-arts|exam:ailet | stream:humanities-arts|exam:slat | stream:humanities-arts|exam:mh-cet-law | stream:science pcm|exam:clat | stream:science pcm|exam:ailet | stream:science pcm|exam:slat | stream:science pcm|exam:mh-cet-law | stream:science pcb|exam:clat | stream:science pcb|exam:ailet | stream:science pcb|exam:slat | stream:science pcb|exam:mh-cet-law | exam:clat|course:bsc | exam:clat|course:bs-ms | exam:clat|course:integrated msc | exam:clat|course:research degree | exam:ailet|course:bsc | exam:ailet|course:bs-ms | exam:ailet|course:integrated msc | exam:ailet|course:research degree | exam:slat|course:bsc | exam:slat|course:bs-ms | exam:slat|course:integrated msc | exam:slat|course:research degree | exam:mh-cet-law|course:bsc | exam:mh-cet-law|course:bs-ms | exam:mh-cet-law|course:integrated msc | exam:mh-cet-law|course:research degree | domain:research science|trait:scientific curiosity | domain:law governance|trait:scientific curiosity","While examining arguments around a legal or rights-based issue, I often want to understand the mechanism that produces the result. I tend to prefer this approach even when the topic becomes more difficult."
"1827","v7_class11_scientific_curiosity_014","senior-secondary","class-11","scientific_curiosity","preferences","research_science | design_architecture","fine-arts-visual-arts | humanities-arts | science pcm | science pcb | science pcmb | biotechnology | fine arts | humanities | commerce","fine-arts | graphic-design | physics | chemistry | biology | mathematics | biotechnology | fine arts | design | engineering graphics | visual arts","uceed | nid-dat | nift-entrance | design-portfolio-entrance | fine-arts-admission | iiser iat | iat | nest | cuet ug | nata | jee paper 2 | nid dat | nift","bsc | bs-ms | integrated msc | research degree | barch | bdes | design | architecture | fashion design","design | creative | research | science | academia | architecture | creative arts","arts-design | science | research | analytical | scientific curiosity | creativity | design | visual | spatial","","domain:research science | domain:design architecture | stream:fine-arts-visual-arts | stream:humanities-arts | stream:science pcm | stream:science pcb | stream:science pcmb | stream:biotechnology | exam:uceed | exam:nid-dat | exam:nift-entrance | exam:design-portfolio-entrance | exam:fine-arts-admission | exam:iiser iat | exam:iat | exam:nest | stream:fine-arts-visual-arts|subject:fine-arts | stream:fine-arts-visual-arts|subject:graphic-design | stream:fine-arts-visual-arts|subject:physics | stream:fine-arts-visual-arts|subject:chemistry | stream:humanities-arts|subject:fine-arts | stream:humanities-arts|subject:graphic-design | stream:humanities-arts|subject:physics | stream:humanities-arts|subject:chemistry | stream:science pcm|subject:fine-arts | stream:science pcm|subject:graphic-design | stream:science pcm|subject:physics | stream:science pcm|subject:chemistry | stream:science pcb|subject:fine-arts | stream:science pcb|subject:graphic-design | stream:science pcb|subject:physics | stream:science pcb|subject:chemistry | stream:fine-arts-visual-arts|exam:uceed | stream:fine-arts-visual-arts|exam:nid-dat | stream:fine-arts-visual-arts|exam:nift-entrance | stream:fine-arts-visual-arts|exam:design-portfolio-entrance | stream:humanities-arts|exam:uceed | stream:humanities-arts|exam:nid-dat | stream:humanities-arts|exam:nift-entrance | stream:humanities-arts|exam:design-portfolio-entrance | stream:science pcm|exam:uceed | stream:science pcm|exam:nid-dat | stream:science pcm|exam:nift-entrance | stream:science pcm|exam:design-portfolio-entrance | stream:science pcb|exam:uceed | stream:science pcb|exam:nid-dat | stream:science pcb|exam:nift-entrance | stream:science pcb|exam:design-portfolio-entrance | exam:uceed|course:bsc | exam:uceed|course:bs-ms | exam:uceed|course:integrated msc | exam:uceed|course:research degree | exam:nid-dat|course:bsc | exam:nid-dat|course:bs-ms | exam:nid-dat|course:integrated msc | exam:nid-dat|course:research degree | exam:nift-entrance|course:bsc | exam:nift-entrance|course:bs-ms | exam:nift-entrance|course:integrated msc | exam:nift-entrance|course:research degree | exam:design-portfolio-entrance|course:bsc | exam:design-portfolio-entrance|course:bs-ms | exam:design-portfolio-entrance|course:integrated msc | exam:design-portfolio-entrance|course:research degree | domain:research science|trait:scientific curiosity | domain:design architecture|trait:scientific curiosity","If developing a visual-art or design project interests me, I may investigate it further even when it is not required for class. I tend to prefer this approach even when the topic becomes more difficult."
"1828","v7_class11_scientific_curiosity_015","senior-secondary","class-11","scientific_curiosity","behaviour","arts_performance","performing-arts | humanities-arts | performing arts | fine arts | humanities | arts","music | dance | theatre-drama | theatre | fine arts","performing-arts-audition | performance audition | music entrance | dance entrance","performing arts | music | dance | theatre","performing-arts | creative | performing arts | creative arts | entertainment","performing-arts | creativity | performance | communication","","domain:arts performance | stream:performing-arts | stream:humanities-arts | stream:performing arts | stream:fine arts | stream:humanities | stream:arts | exam:performing-arts-audition | exam:performance audition | exam:music entrance | exam:dance entrance | stream:performing-arts|subject:music | stream:performing-arts|subject:dance | stream:performing-arts|subject:theatre-drama | stream:performing-arts|subject:theatre | stream:humanities-arts|subject:music | stream:humanities-arts|subject:dance | stream:humanities-arts|subject:theatre-drama | stream:humanities-arts|subject:theatre | stream:performing arts|subject:music | stream:performing arts|subject:dance | stream:performing arts|subject:theatre-drama | stream:performing arts|subject:theatre | stream:fine arts|subject:music | stream:fine arts|subject:dance | stream:fine arts|subject:theatre-drama | stream:fine arts|subject:theatre | stream:performing-arts|exam:performing-arts-audition | stream:performing-arts|exam:performance audition | stream:performing-arts|exam:music entrance | stream:performing-arts|exam:dance entrance | stream:humanities-arts|exam:performing-arts-audition | stream:humanities-arts|exam:performance audition | stream:humanities-arts|exam:music entrance | stream:humanities-arts|exam:dance entrance | stream:performing arts|exam:performing-arts-audition | stream:performing arts|exam:performance audition | stream:performing arts|exam:music entrance | stream:performing arts|exam:dance entrance | stream:fine arts|exam:performing-arts-audition | stream:fine arts|exam:performance audition | stream:fine arts|exam:music entrance | stream:fine arts|exam:dance entrance | exam:performing-arts-audition|course:performing arts | exam:performing-arts-audition|course:music | exam:performing-arts-audition|course:dance | exam:performing-arts-audition|course:theatre | exam:performance audition|course:performing arts | exam:performance audition|course:music | exam:performance audition|course:dance | exam:performance audition|course:theatre | exam:music entrance|course:performing arts | exam:music entrance|course:music | exam:music entrance|course:dance | exam:music entrance|course:theatre | exam:dance entrance|course:performing arts | exam:dance entrance|course:music | exam:dance entrance|course:dance | exam:dance entrance|course:theatre | domain:arts performance|trait:scientific curiosity","I enjoy comparing what I predicted while preparing for a music, dance, theatre, or performance activity with what actually happens. I tend to prefer this approach even when the topic becomes more difficult."
"1829","v7_class11_scientific_curiosity_016","senior-secondary","class-11","scientific_curiosity","motivation","agriculture_environment | healthcare","agriculture | science-pcb | science-pcmb | science pcb | science pcmb | pcb psychology | pcb + psychology","biology | geography | agriculture | chemistry | environmental science | physics | psychology | biotechnology","jee-main | jee-advanced | bitsat | viteee | srmjeee | manipal-entrance | mht-cet | wbjee | kcet | keam | gujcet | ap-eapcet | tg-eapcet | ojee | uptac-counselling | neet-ug | nursing-entrance | paramedical-entrance | icar | cuet ug | agriculture entrance | neet ug | neet | nursing entrance | paramedical entrance | pharmacy entrance","bsc agriculture | agriculture | environmental science | mbbs | bds | bsc nursing | bpharm | allied health | physiotherapy | paramedical","agriculture | environment | life-sciences | sustainability | healthcare | medicine | life sciences","agriculture-environment | science | environment | outdoor | practical | healthcare | helping | research","","domain:agriculture environment | domain:healthcare | stream:agriculture | stream:science-pcb | stream:science-pcmb | stream:science pcb | stream:science pcmb | stream:pcb psychology | exam:jee-main | exam:jee-advanced | exam:bitsat | exam:viteee | exam:srmjeee | exam:manipal-entrance | exam:mht-cet | exam:wbjee | stream:agriculture|subject:biology | stream:agriculture|subject:geography | stream:agriculture|subject:agriculture | stream:agriculture|subject:chemistry | stream:science-pcb|subject:biology | stream:science-pcb|subject:geography | stream:science-pcb|subject:agriculture | stream:science-pcb|subject:chemistry | stream:science-pcmb|subject:biology | stream:science-pcmb|subject:geography | stream:science-pcmb|subject:agriculture | stream:science-pcmb|subject:chemistry | stream:science pcb|subject:biology | stream:science pcb|subject:geography | stream:science pcb|subject:agriculture | stream:science pcb|subject:chemistry | stream:agriculture|exam:jee-main | stream:agriculture|exam:jee-advanced | stream:agriculture|exam:bitsat | stream:agriculture|exam:viteee | stream:science-pcb|exam:jee-main | stream:science-pcb|exam:jee-advanced | stream:science-pcb|exam:bitsat | stream:science-pcb|exam:viteee | stream:science-pcmb|exam:jee-main | stream:science-pcmb|exam:jee-advanced | stream:science-pcmb|exam:bitsat | stream:science-pcmb|exam:viteee | stream:science pcb|exam:jee-main | stream:science pcb|exam:jee-advanced | stream:science pcb|exam:bitsat | stream:science pcb|exam:viteee | exam:jee-main|course:bsc agriculture | exam:jee-main|course:agriculture | exam:jee-main|course:environmental science | exam:jee-main|course:mbbs | exam:jee-advanced|course:bsc agriculture | exam:jee-advanced|course:agriculture | exam:jee-advanced|course:environmental science | exam:jee-advanced|course:mbbs | exam:bitsat|course:bsc agriculture | exam:bitsat|course:agriculture | exam:bitsat|course:environmental science | exam:bitsat|course:mbbs | exam:viteee|course:bsc agriculture | exam:viteee|course:agriculture | exam:viteee|course:environmental science | exam:viteee|course:mbbs | domain:agriculture environment|trait:scientific curiosity | domain:healthcare|trait:scientific curiosity","When testing something while exploring a practical agriculture or environmental problem, I like thinking about which factor may be affecting the result. I tend to prefer this approach even when the topic becomes more difficult."
"1830","v7_class11_scientific_curiosity_017","senior-secondary","class-11","scientific_curiosity","strength","healthcare | hospitality","home-science | science pcb | science pcmb | pcb psychology | pcb + psychology | commerce | humanities | science pcm","home-science | biology | chemistry | physics | psychology | biotechnology | business studies | english | home science","nchm-jee | hotel-management-entrance | neet ug | neet | nursing entrance | paramedical entrance | pharmacy entrance | nchm jee | hotel management entrance","mbbs | bds | bsc nursing | bpharm | allied health | physiotherapy | paramedical | hotel management | hospitality | bsc hospitality","nutrition | wellbeing | hospitality | healthcare | medicine | life sciences | tourism | service management","healthcare-medical | vocational-practical-learning | healthcare | science | helping | research | hospitality | people | management | service","","domain:healthcare | domain:hospitality | stream:home-science | stream:science pcb | stream:science pcmb | stream:pcb psychology | stream:pcb + psychology | stream:commerce | exam:nchm-jee | exam:hotel-management-entrance | exam:neet ug | exam:neet | exam:nursing entrance | exam:paramedical entrance | exam:pharmacy entrance | exam:nchm jee | stream:home-science|subject:home-science | stream:home-science|subject:biology | stream:home-science|subject:chemistry | stream:home-science|subject:physics | stream:science pcb|subject:home-science | stream:science pcb|subject:biology | stream:science pcb|subject:chemistry | stream:science pcb|subject:physics | stream:science pcmb|subject:home-science | stream:science pcmb|subject:biology | stream:science pcmb|subject:chemistry | stream:science pcmb|subject:physics | stream:pcb psychology|subject:home-science | stream:pcb psychology|subject:biology | stream:pcb psychology|subject:chemistry | stream:pcb psychology|subject:physics | stream:home-science|exam:nchm-jee | stream:home-science|exam:hotel-management-entrance | stream:home-science|exam:neet ug | stream:home-science|exam:neet | stream:science pcb|exam:nchm-jee | stream:science pcb|exam:hotel-management-entrance | stream:science pcb|exam:neet ug | stream:science pcb|exam:neet | stream:science pcmb|exam:nchm-jee | stream:science pcmb|exam:hotel-management-entrance | stream:science pcmb|exam:neet ug | stream:science pcmb|exam:neet | stream:pcb psychology|exam:nchm-jee | stream:pcb psychology|exam:hotel-management-entrance | stream:pcb psychology|exam:neet ug | stream:pcb psychology|exam:neet | exam:nchm-jee|course:mbbs | exam:nchm-jee|course:bds | exam:nchm-jee|course:bsc nursing | exam:nchm-jee|course:bpharm | exam:hotel-management-entrance|course:mbbs | exam:hotel-management-entrance|course:bds | exam:hotel-management-entrance|course:bsc nursing | exam:hotel-management-entrance|course:bpharm | exam:neet ug|course:mbbs | exam:neet ug|course:bds | exam:neet ug|course:bsc nursing | exam:neet ug|course:bpharm | exam:neet|course:mbbs | exam:neet|course:bds | exam:neet|course:bsc nursing | exam:neet|course:bpharm | domain:healthcare|trait:scientific curiosity | domain:hospitality|trait:scientific curiosity","While working on a practical home-science or wellbeing task, I often become curious about why something happens the way it does. This is usually one of the first approaches I consider."
"1831","v7_class11_scientific_curiosity_018","senior-secondary","class-11","scientific_curiosity","problem-solving","research_science","vocational-skill-based | science pcm | science pcb | science pcmb | biotechnology","vocational-skill-subject | physics | chemistry | biology | mathematics | biotechnology","iiser iat | iat | nest | cuet ug","bsc | bs-ms | integrated msc | research degree","technical | skilled-trades | research | science | academia","vocational-practical-learning | science | research | analytical | scientific curiosity","","domain:research science | stream:vocational-skill-based | stream:science pcm | stream:science pcb | stream:science pcmb | stream:biotechnology | exam:iiser iat | exam:iat | exam:nest | exam:cuet ug | stream:vocational-skill-based|subject:vocational-skill-subject | stream:vocational-skill-based|subject:physics | stream:vocational-skill-based|subject:chemistry | stream:vocational-skill-based|subject:biology | stream:science pcm|subject:vocational-skill-subject | stream:science pcm|subject:physics | stream:science pcm|subject:chemistry | stream:science pcm|subject:biology | stream:science pcb|subject:vocational-skill-subject | stream:science pcb|subject:physics | stream:science pcb|subject:chemistry | stream:science pcb|subject:biology | stream:science pcmb|subject:vocational-skill-subject | stream:science pcmb|subject:physics | stream:science pcmb|subject:chemistry | stream:science pcmb|subject:biology | stream:vocational-skill-based|exam:iiser iat | stream:vocational-skill-based|exam:iat | stream:vocational-skill-based|exam:nest | stream:vocational-skill-based|exam:cuet ug | stream:science pcm|exam:iiser iat | stream:science pcm|exam:iat | stream:science pcm|exam:nest | stream:science pcm|exam:cuet ug | stream:science pcb|exam:iiser iat | stream:science pcb|exam:iat | stream:science pcb|exam:nest | stream:science pcb|exam:cuet ug | stream:science pcmb|exam:iiser iat | stream:science pcmb|exam:iat | stream:science pcmb|exam:nest | stream:science pcmb|exam:cuet ug | exam:iiser iat|course:bsc | exam:iiser iat|course:bs-ms | exam:iiser iat|course:integrated msc | exam:iiser iat|course:research degree | exam:iat|course:bsc | exam:iat|course:bs-ms | exam:iat|course:integrated msc | exam:iat|course:research degree | exam:nest|course:bsc | exam:nest|course:bs-ms | exam:nest|course:integrated msc | exam:nest|course:research degree | exam:cuet ug|course:bsc | exam:cuet ug|course:bs-ms | exam:cuet ug|course:integrated msc | exam:cuet ug|course:research degree | domain:research science|trait:scientific curiosity","Before testing an idea while completing a practical technical or skill-based task, I enjoy predicting what may happen and why. This is usually one of the first approaches I consider."
"1832","v7_class11_scientific_curiosity_019","senior-secondary","class-11","scientific_curiosity","work-style","research_science | arts_performance","sports-physical-education | science pcm | science pcb | science pcmb | biotechnology | performing arts | fine arts | humanities | arts","physical-education | physics | chemistry | biology | mathematics | biotechnology | music | dance | theatre | fine arts","iiser iat | iat | nest | cuet ug | performance audition | music entrance | dance entrance","bsc | bs-ms | integrated msc | research degree | performing arts | music | dance | theatre","sports | fitness | research | science | academia | performing arts | creative arts | entertainment","sports | science | research | analytical | scientific curiosity | creativity | performance | communication","","domain:research science | domain:arts performance | stream:sports-physical-education | stream:science pcm | stream:science pcb | stream:science pcmb | stream:biotechnology | stream:performing arts | exam:iiser iat | exam:iat | exam:nest | exam:cuet ug | exam:performance audition | exam:music entrance | exam:dance entrance | stream:sports-physical-education|subject:physical-education | stream:sports-physical-education|subject:physics | stream:sports-physical-education|subject:chemistry | stream:sports-physical-education|subject:biology | stream:science pcm|subject:physical-education | stream:science pcm|subject:physics | stream:science pcm|subject:chemistry | stream:science pcm|subject:biology | stream:science pcb|subject:physical-education | stream:science pcb|subject:physics | stream:science pcb|subject:chemistry | stream:science pcb|subject:biology | stream:science pcmb|subject:physical-education | stream:science pcmb|subject:physics | stream:science pcmb|subject:chemistry | stream:science pcmb|subject:biology | stream:sports-physical-education|exam:iiser iat | stream:sports-physical-education|exam:iat | stream:sports-physical-education|exam:nest | stream:sports-physical-education|exam:cuet ug | stream:science pcm|exam:iiser iat | stream:science pcm|exam:iat | stream:science pcm|exam:nest | stream:science pcm|exam:cuet ug | stream:science pcb|exam:iiser iat | stream:science pcb|exam:iat | stream:science pcb|exam:nest | stream:science pcb|exam:cuet ug | stream:science pcmb|exam:iiser iat | stream:science pcmb|exam:iat | stream:science pcmb|exam:nest | stream:science pcmb|exam:cuet ug | exam:iiser iat|course:bsc | exam:iiser iat|course:bs-ms | exam:iiser iat|course:integrated msc | exam:iiser iat|course:research degree | exam:iat|course:bsc | exam:iat|course:bs-ms | exam:iat|course:integrated msc | exam:iat|course:research degree | exam:nest|course:bsc | exam:nest|course:bs-ms | exam:nest|course:integrated msc | exam:nest|course:research degree | exam:cuet ug|course:bsc | exam:cuet ug|course:bs-ms | exam:cuet ug|course:integrated msc | exam:cuet ug|course:research degree | domain:research science|trait:scientific curiosity | domain:arts performance|trait:scientific curiosity","While improving performance in a sports or physical-education activity, I prefer explanations supported by reliable evidence. This is usually one of the first approaches I consider."
"1833","v7_class11_scientific_curiosity_020","senior-secondary","class-11","scientific_curiosity","interest","research_science","science pcm | science pcb | science pcmb | biotechnology","physics | chemistry | biology | mathematics | biotechnology","iiser iat | iat | nest | cuet ug","bsc | bs-ms | integrated msc | research degree","research | science | academia","science | research | analytical | scientific curiosity","","domain:research science | stream:science pcm | stream:science pcb | stream:science pcmb | stream:biotechnology | exam:iiser iat | exam:iat | exam:nest | exam:cuet ug | stream:science pcm|subject:physics | stream:science pcm|subject:chemistry | stream:science pcm|subject:biology | stream:science pcm|subject:mathematics | stream:science pcb|subject:physics | stream:science pcb|subject:chemistry | stream:science pcb|subject:biology | stream:science pcb|subject:mathematics | stream:science pcmb|subject:physics | stream:science pcmb|subject:chemistry | stream:science pcmb|subject:biology | stream:science pcmb|subject:mathematics | stream:biotechnology|subject:physics | stream:biotechnology|subject:chemistry | stream:biotechnology|subject:biology | stream:biotechnology|subject:mathematics | stream:science pcm|exam:iiser iat | stream:science pcm|exam:iat | stream:science pcm|exam:nest | stream:science pcm|exam:cuet ug | stream:science pcb|exam:iiser iat | stream:science pcb|exam:iat | stream:science pcb|exam:nest | stream:science pcb|exam:cuet ug | stream:science pcmb|exam:iiser iat | stream:science pcmb|exam:iat | stream:science pcmb|exam:nest | stream:science pcmb|exam:cuet ug | stream:biotechnology|exam:iiser iat | stream:biotechnology|exam:iat | stream:biotechnology|exam:nest | stream:biotechnology|exam:cuet ug | exam:iiser iat|course:bsc | exam:iiser iat|course:bs-ms | exam:iiser iat|course:integrated msc | exam:iiser iat|course:research degree | exam:iat|course:bsc | exam:iat|course:bs-ms | exam:iat|course:integrated msc | exam:iat|course:research degree | exam:nest|course:bsc | exam:nest|course:bs-ms | exam:nest|course:integrated msc | exam:nest|course:research degree | exam:cuet ug|course:bsc | exam:cuet ug|course:bs-ms | exam:cuet ug|course:integrated msc | exam:cuet ug|course:research degree | domain:research science|trait:scientific curiosity","I enjoy testing an idea while preparing for a competitive entrance examination rather than accepting it only because someone says it is correct. This is usually one of the first approaches I consider."
"1834","v7_class11_scientific_curiosity_021","senior-secondary","class-11","scientific_curiosity","decision-making","research_science","science pcm | science pcb | science pcmb | biotechnology","physics | chemistry | biology | mathematics | biotechnology","iiser iat | iat | nest | cuet ug","bsc | bs-ms | integrated msc | research degree","research | science | academia","science | research | analytical | scientific curiosity","","domain:research science | stream:science pcm | stream:science pcb | stream:science pcmb | stream:biotechnology | exam:iiser iat | exam:iat | exam:nest | exam:cuet ug | stream:science pcm|subject:physics | stream:science pcm|subject:chemistry | stream:science pcm|subject:biology | stream:science pcm|subject:mathematics | stream:science pcb|subject:physics | stream:science pcb|subject:chemistry | stream:science pcb|subject:biology | stream:science pcb|subject:mathematics | stream:science pcmb|subject:physics | stream:science pcmb|subject:chemistry | stream:science pcmb|subject:biology | stream:science pcmb|subject:mathematics | stream:biotechnology|subject:physics | stream:biotechnology|subject:chemistry | stream:biotechnology|subject:biology | stream:biotechnology|subject:mathematics | stream:science pcm|exam:iiser iat | stream:science pcm|exam:iat | stream:science pcm|exam:nest | stream:science pcm|exam:cuet ug | stream:science pcb|exam:iiser iat | stream:science pcb|exam:iat | stream:science pcb|exam:nest | stream:science pcb|exam:cuet ug | stream:science pcmb|exam:iiser iat | stream:science pcmb|exam:iat | stream:science pcmb|exam:nest | stream:science pcmb|exam:cuet ug | stream:biotechnology|exam:iiser iat | stream:biotechnology|exam:iat | stream:biotechnology|exam:nest | stream:biotechnology|exam:cuet ug | exam:iiser iat|course:bsc | exam:iiser iat|course:bs-ms | exam:iiser iat|course:integrated msc | exam:iiser iat|course:research degree | exam:iat|course:bsc | exam:iat|course:bs-ms | exam:iat|course:integrated msc | exam:iat|course:research degree | exam:nest|course:bsc | exam:nest|course:bs-ms | exam:nest|course:integrated msc | exam:nest|course:research degree | exam:cuet ug|course:bsc | exam:cuet ug|course:bs-ms | exam:cuet ug|course:integrated msc | exam:cuet ug|course:research degree | domain:research science|trait:scientific curiosity","While researching different degree and course options after school, I often want to understand the mechanism that produces the result. This is usually one of the first approaches I consider."
